job_title,employment_type,experience_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,work_year
Staff Data Analyst,Contract,Entry,60000,Canadian Dollar,Canada,44753,Canada,Large,2020
AI Engineer,Full-Time,Entry,35000,United States Dollar,Germany,35000,Croatia,Medium,2023
AI Developer,Full-Time,Senior,50000,Euro,Italy,53984,Italy,Small,2023
Machine Learning Engineer,Full-Time,Senior,226600,United States Dollar,United States,226600,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,140100,United States Dollar,United States,140100,United States,Medium,2023
Machine Learning Scientist,Full-Time,Senior,204500,United States Dollar,Canada,204500,Canada,Medium,2023
Machine Learning Scientist,Full-Time,Senior,142200,United States Dollar,Canada,142200,Canada,Medium,2023
Research Scientist,Full-Time,Senior,220000,United States Dollar,United States,220000,United States,Medium,2023
Research Scientist,Full-Time,Senior,140000,United States Dollar,United States,140000,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,204600,United States Dollar,United States,204600,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,126500,United States Dollar,United States,126500,United States,Medium,2023
Research Analyst,Full-Time,Senior,135960,United States Dollar,United States,135960,United States,Medium,2023
Research Analyst,Full-Time,Senior,70960,United States Dollar,United States,70960,United States,Medium,2023
Data Engineer,Full-Time,Senior,128750,United States Dollar,United States,128750,United States,Medium,2023
Data Engineer,Full-Time,Senior,86250,United States Dollar,United States,86250,United States,Medium,2023
Data Engineer,Full-Time,Senior,90000,British Pound Sterling,United Kingdom,110736,United Kingdom,Medium,2023
Data Engineer,Full-Time,Senior,75000,British Pound Sterling,United Kingdom,92280,United Kingdom,Medium,2023
Data Engineer,Full-Time,Mid,131000,United States Dollar,Colombia,131000,Colombia,Medium,2023
Data Engineer,Full-Time,Mid,88000,United States Dollar,Colombia,88000,Colombia,Medium,2023
Data Analyst,Full-Time,Senior,185100,United States Dollar,United States,185100,United States,Medium,2023
Data Analyst,Full-Time,Senior,133300,United States Dollar,United States,133300,United States,Medium,2023
